"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FVC","First Trust Dorsey Wright Dynamic Focus 5 ETF","26.88","$524.16M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fvc",
"FV","First Trust Dorsey Wright Focus 5 ETF","30.37","$2.47B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fv",
"IFV","First Trust Dorsey Wright International Focus 5 ETF","19.55","$528.83M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ifv",
"DDIV","First Trust Dorsey Wright Momentum & Dividend ETF","25.08","$31.35M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ddiv",
"DVOL","First Trust Dorsey Wright Momentum & Low Volatility ETF","21.79","$43.58M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dvol",
"DVLU","First Trust Dorsey Wright Momentum & Value ETF","18.134","$19.04M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dvlu",
"DWPP","First Trust Dorsey Wright People&#39;s Portfolio ETF","30.657","$47.52M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dwpp",
"DALI","First Trust DorseyWright DALI 1 ETF","20.3621","$70.25M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/dali",
"FDNI","First Trust Dow Jones International Internet ETF","21.6899","$5.42M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fdni",
"FDEU","First Trust Dynamic Europe Equity Income Fund","13.815","$238.06M","2015","n/a","n/a","https://www.nasdaq.com/symbol/fdeu",
"FEM","First Trust Emerging Markets AlphaDEX Fund","24.48","$689.11M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fem",
"RNEM","First Trust Emerging Markets Equity Select ETF","51.62","$12.91M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rnem",
"FEMB","First Trust Emerging Markets Local Currency Bond ETF","38.507","$105.89M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/femb",
"FEMS","First Trust Emerging Markets Small Cap AlphaDEX Fund","34.23","$138.63M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/fems",
"FEN","First Trust Energy Income and Growth Fund","21.71","$433.86M","2004","n/a","n/a","https://www.nasdaq.com/symbol/fen",
"FIF","First Trust Energy Infrastructure Fund","15.76","$276.59M","2011","n/a","n/a","https://www.nasdaq.com/symbol/fif",
"FTSM","First Trust Enhanced Short Maturity ETF","60.1","$4.56B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ftsm",
