"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"BOXL","Boxlight Corporation","2.92","$30.92M","2017","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/boxl",
"BWMC","Boxwood Merger Corp.","9.84","$248.46M","2019","Finance","Business Services","https://www.nasdaq.com/symbol/bwmc",
"BWMCU","Boxwood Merger Corp.","10.4","n/a","2018","Finance","Business Services","https://www.nasdaq.com/symbol/bwmcu",
"BWMCW","Boxwood Merger Corp.","0.62","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/bwmcw",
"BYD","Boyd Gaming Corporation","27.88","$3.11B","1993","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/byd",
"BPMP","BP Midstream Partners LP","15.17","$1.59B","2017","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/bpmp",
"BP","BP p.l.c.","41.09","$139.35B","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/bp",
"BPT","BP Prudhoe Bay Royalty Trust","15.38","$329.13M","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/bpt",
"BRC","Brady Corporation","48.27","$2.55B","n/a","Consumer Durables","Miscellaneous manufacturing industries","https://www.nasdaq.com/symbol/brc",
"BHR","Braemar Hotels & Resorts Inc.","10.03","$329.82M","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/bhr",
"BHR^B","Braemar Hotels & Resorts Inc.","19.4","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/bhr^b",
"BHR^D","Braemar Hotels & Resorts Inc.","25.8225","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/bhr^d",
"BCLI","Brainstorm Cell Therapeutics Inc.","3.78","$111.47M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/bcli",
"BWAY","Brainsway Ltd.","9.41","$104.62M","2019","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/bway",
"BVNSC","Brandes Investment Trust","99.99","$50M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/bvnsc",
"BDN","Brandywine Realty Trust","15.32","$2.7B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/bdn",
