"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"REKR","Rekor Systems, Inc.","1.49","$28.86M","n/a","Capital Goods","Telecommunications Equipment","https://www.nasdaq.com/symbol/rekr",
"RS","Reliance Steel & Aluminum Co.","89.98","$6.05B","1994","Basic Industries","Metal Fabrications","https://www.nasdaq.com/symbol/rs",
"RBNC","Reliant Bancorp, Inc.","22.86","$262.82M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/rbnc",
"RELV","Reliv&#39; International, Inc.","5.16","$9.01M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/relv",
"RELX","RELX PLC","24.43","$47.61B","2015","Consumer Services","Publishing","https://www.nasdaq.com/symbol/relx",
"MARK","Remark Holdings, Inc.","0.9982","$42.93M","n/a","Consumer Services","Telecommunications Equipment","https://www.nasdaq.com/symbol/mark",
"RNR","RenaissanceRe Holdings Ltd.","181.65","$8.02B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/rnr",
"RNR^C","RenaissanceRe Holdings Ltd.","26.29","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rnr^c",
"RNR^E","RenaissanceRe Holdings Ltd.","25.18","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rnr^e",
"RNR^F","RenaissanceRe Holdings Ltd.","25.61","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rnr^f",
"RNST","Renasant Corporation","36.3","$2.13B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/rnst",
"SOL","Renesola Ltd.","1.28","$48.74M","2008","Technology","Semiconductors","https://www.nasdaq.com/symbol/sol",
"REGI","Renewable Energy Group, Inc.","16.07","$604.54M","2012","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/regi",
"RCG","RENN Fund, Inc.","1.54","$9.17M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rcg",
"RENN","Renren Inc.","0.9973","$69.32M","2011","Technology","EDP Services","https://www.nasdaq.com/symbol/renn",
"RCII","Rent-A-Center Inc.","25.16","$1.36B","1995","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/rcii",
"RPLA","Replay Acquisition Corp.","9.8","$352.19M","2019","Finance","Business Services","https://www.nasdaq.com/symbol/rpla",
"RPLA.U","Replay Acquisition Corp.","n/a","n/a","2019","n/a","n/a","https://www.nasdaq.com/symbol/rpla.u",
"RPLA.WS","Replay Acquisition Corp.","n/a","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rpla.ws",
"RGEN","Repligen Corporation","81.1","$3.89B","1986","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/rgen",
"REPL","Replimune Group, Inc.","12.99","$411.09M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/repl",
"RBCAA","Republic Bancorp, Inc.","46.29","$969.25M","1998","Finance","Major Banks","https://www.nasdaq.com/symbol/rbcaa",
"FRBK","Republic First Bancorp, Inc.","5","$294.21M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/frbk",
"RSG","Republic Services, Inc.","86.68","$27.88B","1998","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/rsg",
"REFR","Research Frontiers Incorporated","3.29","$101.96M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/refr",
"REZI","Resideo Technologies, Inc.","21.1","$2.59B","2018","Capital Goods","Wholesale Distributors","https://www.nasdaq.com/symbol/rezi",
"RMD","ResMed Inc.","120.54","$17.28B","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/rmd",
"RFP","Resolute Forest Products Inc.","6.32","$576.57M","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/rfp",
"RESN","Resonant Inc.","2.12","$59.55M","2014","Technology","Semiconductors","https://www.nasdaq.com/symbol/resn",
"RECN","Resources Connection, Inc.","16.2","$518.73M","2000","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/recn",
"QSR","Restaurant Brands International Inc.","69.43","$17.63B","2014","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/qsr",
"HAIR","Restoration Robotics, Inc.","0.4861","$19.86M","2017","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/hair",
"TORC","resTORbio, Inc.","10.21","$364.94M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/torc",
"ROIC","Retail Opportunity Investments Corp.","17.49","$2B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/roic",
"RPAI","Retail Properties of America, Inc.","12.38","$2.64B","2012","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/rpai",
"RVI","Retail Value Inc.","34.67","$660.22M","2018","Finance","Real Estate","https://www.nasdaq.com/symbol/rvi",
"RETO","ReTo Eco-Solutions, Inc.","1.1","$25.04M","2017","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/reto",
"RVP","Retractable Technologies, Inc.","0.67","$21.89M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/rvp",
"RTRX","Retrophin, Inc.","20.05","$830.86M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rtrx",
"REVG","REV Group, Inc.","13.54","$844.86M","2017","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/revg",
"RVNC","Revance Therapeutics, Inc.","11.57","$509.16M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rvnc",
"RVEN","Reven Housing REIT, Inc.","3.98","$43.93M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/rven",
"REV","Revlon, Inc.","23.12","$1.23B","1996","Consumer Non-Durables","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/rev",
"RVLT","Revolution Lighting Technologies, Inc.","0.246","$5.79M","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/rvlt",
"RVLV","Revolve Group, Inc.","46.96","n/a","2019","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/rvlv",
"RWLK","ReWalk Robotics Ltd.","4.77","$30.32M","2014","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/rwlk",
"REX","REX American Resources Corporation","69.02","$433.06M","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/rex",
"REXN","Rexahn Pharmaceuticals, Inc.","5.29","$21.26M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/rexn",
"REXR","Rexford Industrial Realty, Inc.","41.05","$4.27B","2013","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/rexr",
"REXR^A","Rexford Industrial Realty, Inc.","25.9","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rexr^a",
"REXR^B","Rexford Industrial Realty, Inc.","25.64","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rexr^b",
"RXN","Rexnord Corporation","29.16","$3.07B","2012","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/rxn",
"RXN^A","Rexnord Corporation","59.56","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/rxn^a",
